agent_number,statistic,season,year,prop_missing,temperature,period_start,period_end,lat,lon,site,anomaly,reference_period
25354,Average,Autumn,2019,0,14.666666666666700,2019-03-01,2019-05-31,-41.285,174.768,Wellington,1.0166666666666700,1961-1990
25354,Average,Spring,2019,0,12.5,2019-09-01,2019-11-30,-41.285,174.768,Wellington,0.4111111111111110,1961-1990
25354,Average,Summer,2019,0,17.766666666666700,2018-12-01,2019-02-28,-41.285,174.768,Wellington,1.3044444444444400,1961-1990
25354,Average,Winter,2019,0,10.266666666666700,2019-06-01,2019-08-31,-41.285,174.768,Wellington,1.2022222222222200,1961-1990
25354,Maximum,Autumn,2019,0,17.4,2019-03-01,2019-05-31,-41.285,174.768,Wellington,0.8133333333333330,1961-1990
25354,Maximum,Spring,2019,0,15.566666666666700,2019-09-01,2019-11-30,-41.285,174.768,Wellington,0.42666666666666600,1961-1990
25354,Maximum,Summer,2019,0,21.100000000000000,2018-12-01,2019-02-28,-41.285,174.768,Wellington,1.2144444444444400,1961-1990
25354,Maximum,Winter,2019,0,12.9,2019-06-01,2019-08-31,-41.285,174.768,Wellington,1.2677777777777800,1961-1990
25354,Minimum,Autumn,2019,0,12,2019-03-01,2019-05-31,-41.285,174.768,Wellington,1.325555555555560,1961-1990
25354,Minimum,Spring,2019,0,9.5,2019-09-01,2019-11-30,-41.285,174.768,Wellington,0.49555555555555500,1961-1990
25354,Minimum,Summer,2019,0,14.466666666666700,2018-12-01,2019-02-28,-41.285,174.768,Wellington,1.467777777777780,1961-1990
25354,Minimum,Winter,2019,0,7.6,2019-06-01,2019-08-31,-41.285,174.768,Wellington,1.1377777777777800,1961-1990
2810,Average,Autumn,2019,0,15.7,2019-03-01,2019-05-31,-38.6586,177.9851,Gisborne,1.136666666666670,1961-1990
2810,Average,Spring,2019,0,14.733333333333300,2019-09-01,2019-11-30,-38.6586,177.9851,Gisborne,1.1544444444444400,1961-1990
2810,Average,Summer,2019,0,19.766666666666700,2018-12-01,2019-02-28,-38.6586,177.9851,Gisborne,1.4644444444444400,1961-1990
2810,Average,Winter,2019,0,10.766666666666700,2019-06-01,2019-08-31,-38.6586,177.9851,Gisborne,1.1866666666666700,1961-1990
2810,Maximum,Autumn,2019,0,20.8,2019-03-01,2019-05-31,-38.6586,177.9851,Gisborne,1.0044444444444500,1961-1990
2810,Maximum,Spring,2019,0,20.066666666666700,2019-09-01,2019-11-30,-38.6586,177.9851,Gisborne,1.1844444444444400,1961-1990
2810,Maximum,Summer,2019,0,24.9,2018-12-01,2019-02-28,-38.6586,177.9851,Gisborne,0.9822222222222190,1961-1990
2810,Maximum,Winter,2019,0,15.7,2019-06-01,2019-08-31,-38.6586,177.9851,Gisborne,1.4333333333333300,1961-1990
2810,Minimum,Autumn,2019,0,10.566666666666700,2019-03-01,2019-05-31,-38.6586,177.9851,Gisborne,1.2288888888888900,1961-1990
2810,Minimum,Spring,2019,0,9.366666666666670,2019-09-01,2019-11-30,-38.6586,177.9851,Gisborne,1.0955555555555600,1961-1990
2810,Minimum,Summer,2019,0,14.633333333333300,2018-12-01,2019-02-28,-38.6586,177.9851,Gisborne,1.92,1961-1990
2810,Minimum,Winter,2019,0,5.833333333333330,2019-06-01,2019-08-31,-38.6586,177.9851,Gisborne,0.9777777777777780,1961-1990
2997,Average,Autumn,2019,0,15.666666666666700,2019-03-01,2019-05-31,-39.49846,176.91189,Napier,0.7955555555555570,1961-1990
2997,Average,Spring,2019,0,14.833333333333300,2019-09-01,2019-11-30,-39.49846,176.91189,Napier,0.7866666666666650,1961-1990
2997,Average,Summer,2019,0,20.233333333333300,2018-12-01,2019-02-28,-39.49846,176.91189,Napier,1.3788888888888900,1961-1990
2997,Average,Winter,2019,0,10.433333333333300,2019-06-01,2019-08-31,-39.49846,176.91189,Napier,0.9688888888888890,1961-1990
2997,Maximum,Autumn,2019,0,20.666666666666700,2019-03-01,2019-05-31,-39.49846,176.91189,Napier,0.826666666666668,1961-1990
2997,Maximum,Spring,2019,0,20.133333333333300,2019-09-01,2019-11-30,-39.49846,176.91189,Napier,1.1566666666666700,1961-1990
2997,Maximum,Summer,2019,0,25.066666666666700,2018-12-01,2019-02-28,-39.49846,176.91189,Napier,1.3600000000000000,1961-1990
2997,Maximum,Winter,2019,0,15.633333333333300,2019-06-01,2019-08-31,-39.49846,176.91189,Napier,1.434444444444440,1961-1990
2997,Minimum,Autumn,2019,0,10.633333333333300,2019-03-01,2019-05-31,-39.49846,176.91189,Napier,0.72999999999999900,1961-1990
2997,Minimum,Spring,2019,0,9.6,2019-09-01,2019-11-30,-39.49846,176.91189,Napier,0.4755555555555550,1961-1990
2997,Minimum,Summer,2019,0,15.400000000000000,2018-12-01,2019-02-28,-39.49846,176.91189,Napier,1.3988888888888900,1961-1990
2997,Minimum,Winter,2019,0,5.2,2019-06-01,2019-08-31,-39.49846,176.91189,Napier,0.47666666666666700,1961-1990
3629,Average,Autumn,2019,0,10.9,2019-03-01,2019-05-31,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Average,Spring,2019,0,9.333333333333330,2019-09-01,2019-11-30,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Average,Summer,2019,0,15.2,2018-12-01,2019-02-28,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Average,Winter,2019,0,5.4,2019-06-01,2019-08-31,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Maximum,Autumn,2019,0,16.133333333333300,2019-03-01,2019-05-31,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Maximum,Spring,2019,0,14.4,2019-09-01,2019-11-30,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Maximum,Summer,2019,0,21.166666666666700,2018-12-01,2019-02-28,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Maximum,Winter,2019,0,9.166666666666670,2019-06-01,2019-08-31,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Minimum,Autumn,2019,0,5.633333333333330,2019-03-01,2019-05-31,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Minimum,Spring,2019,0,4.266666666666670,2019-09-01,2019-11-30,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Minimum,Summer,2019,0,9.233333333333330,2018-12-01,2019-02-28,-39.46249,175.66283,Waiouru,NA,1961-1990
3629,Minimum,Winter,2019,0,1.6333333333333300,2019-06-01,2019-08-31,-39.46249,175.66283,Waiouru,NA,1961-1990
